house_type,area_sqft,num_bedrooms,age_years,distance_to_city_km,crime_rate_index,price_usd
Apartment,2085.7,2.0,13.1,15.39,9.48,180900.0
Apartment,1898.7,3.0,17.7,1.3,,249400.0
Apartment,1612.3,1.0,,2.1,1.37,149500.0
Apartment,2203.4,5.0,19.8,2.38,5.39,299000.0
Apartment,1648.8,1.0,24.8,8.14,5.06,137000.0
Apartment,1655.7,3.0,21.8,15.47,3.98,164500.0
Bungalow,1478.8,3.0,29.6,3.77,9.62,197000.0
Apartment,1989.4,,28.2,0.88,8.4,228900.0
Apartment,1938.6,2.0,21.4,6.25,6.95,189800.0
Villa,1249.7,3.0,27.2,13.79,2.47,207700.0
Apartment,972.3,,34.9,2.51,7.61,86000.0
Bungalow,1418.8,4.0,17.3,2.48,7.54,222000.0
Apartment,1180.0,1.0,16.5,29.42,4.83,50000.0
Townhouse,1474.6,2.0,30.6,30.82,9.32,50800.0
Bungalow,1995.0,,23.3,46.53,2.5,114000.0
Apartment,1317.1,4.0,2.8,16.48,3.41,165400.0
Apartment,1482.9,2.0,,2.08,1.57,157700.0
Bungalow,1523.2,3.0,1.2,2.38,8.16,216600.0
Bungalow,1839.4,2.0,29.9,4.16,6.6,256400.0
Bungalow,601.2,4.0,30.4,3.83,3.83,108600.0
Bungalow,1257.3,5.0,38.1,31.36,2.47,145100.0
Apartment,1584.5,3.0,2.2,15.56,1.36,205300.0
Apartment,1980.0,3.0,23.9,12.87,2.5,232600.0
Apartment,1303.2,2.0,17.1,2.06,5.08,141000.0
Townhouse,749.4,1.0,13.2,24.03,3.22,50000.0
Bungalow,1747.9,2.0,3.6,17.6,3.33,166100.0
Apartment,1245.9,3.0,22.5,1.79,8.88,116800.0
Apartment,1024.1,3.0,19.2,20.49,5.64,52200.0
Apartment,1250.3,5.0,4.2,3.18,7.56,218000.0
Apartment,,3.0,24.5,0.84,1.32,169800.0
Bungalow,1258.1,3.0,29.5,10.7,4.29,135400.0
Bungalow,617.8,3.0,30.7,10.61,5.31,50000.0
Townhouse,1858.8,3.0,36.2,,2.68,247400.0
Villa,2010.0,,16.4,,2.08,326000.0
Apartment,1760.6,3.0,38.1,49.36,,65600.0
Bungalow,1044.9,3.0,34.6,11.35,9.45,114700.0
Bungalow,1419.4,4.0,11.9,13.1,1.71,170600.0
Villa,1497.4,5.0,6.4,2.39,4.14,291600.0
Bungalow,1739.5,2.0,17.4,,9.62,236400.0
Villa,1767.3,1.0,,3.24,1.75,278200.0
Villa,1206.3,3.0,23.0,2.86,6.79,246300.0
Villa,1532.8,3.0,23.3,2.67,9.75,247300.0
Apartment,1682.9,2.0,30.0,2.14,9.8,142000.0
Apartment,2082.3,4.0,20.4,8.55,5.24,237000.0
Apartment,1781.8,5.0,4.2,3.98,2.46,235600.0
Bungalow,1815.6,5.0,34.3,17.17,2.82,221600.0
Apartment,1533.5,2.0,12.4,2.03,,159700.0
Villa,2064.2,,38.9,6.25,9.21,322900.0
Townhouse,1663.9,4.0,4.7,0.5,6.47,198100.0
Apartment,1155.6,3.0,38.3,6.57,7.9,102900.0
Villa,2061.3,3.0,3.6,0.57,7.66,326500.0
Bungalow,1779.2,4.0,9.2,38.04,6.96,134000.0
Apartment,1322.8,3.0,1.9,15.63,8.45,114700.0
Apartment,1308.2,3.0,28.2,6.74,7.17,118000.0
Apartment,1618.6,3.0,34.0,0.91,5.81,213900.0
Apartment,1685.3,3.0,17.4,8.98,3.13,212800.0
Townhouse,1578.9,2.0,37.1,14.22,7.69,151100.0
Bungalow,1624.5,5.0,23.6,2.12,5.26,240800.0
Bungalow,2180.0,3.0,25.2,8.4,3.65,255000.0
Townhouse,1928.6,3.0,33.8,16.83,8.22,177800.0
Bungalow,1576.3,1.0,11.9,14.62,7.27,142300.0
Apartment,1876.5,3.0,14.2,16.25,9.44,154400.0
Townhouse,1087.0,2.0,36.2,21.15,2.49,50000.0
Villa,1659.2,1.0,36.0,,6.84,164600.0
Bungalow,2223.7,3.0,39.1,5.2,,275800.0
Townhouse,1412.8,3.0,36.1,8.41,9.13,148500.0
Apartment,1160.9,3.0,5.1,15.64,1.9,130500.0
Apartment,1239.2,1.0,32.9,11.94,6.91,95800.0
Apartment,1064.1,3.0,16.4,50.0,8.12,50000.0
Villa,1186.1,2.0,39.6,0.5,4.19,222300.0
Bungalow,1351.8,5.0,,4.39,9.59,181700.0
Townhouse,,3.0,22.2,3.3,8.66,77500.0
Apartment,1506.2,3.0,21.2,3.04,3.65,172900.0
Villa,1860.9,,12.9,2.52,1.07,336400.0
Villa,1136.9,1.0,3.0,,3.67,170800.0
Apartment,2107.7,5.0,35.8,0.89,3.53,314500.0
Apartment,1704.3,2.0,32.1,13.53,9.01,142800.0
Apartment,1912.2,3.0,5.6,11.82,9.7,179500.0
Townhouse,1236.9,3.0,31.1,,1.63,185900.0
Apartment,1841.8,1.0,,2.91,5.24,192700.0
Villa,1063.2,,16.4,9.91,5.93,187300.0
Bungalow,1856.1,3.0,10.2,14.36,1.84,269400.0
Apartment,1568.7,2.0,34.4,20.91,4.4,115900.0
Townhouse,,1.0,28.0,19.11,,135200.0
Townhouse,1029.8,2.0,21.9,33.49,,50000.0
Apartment,1142.0,4.0,24.4,8.71,6.95,144500.0
Villa,1738.9,3.0,,23.93,7.33,241100.0
Apartment,1120.7,2.0,19.0,16.53,2.23,99100.0
Apartment,1685.3,1.0,7.7,22.51,8.32,92400.0
Apartment,953.1,3.0,8.3,0.5,7.11,132000.0
Bungalow,1839.3,3.0,26.5,33.79,9.0,153300.0
Villa,1007.0,3.0,36.5,6.42,5.04,174800.0
Apartment,1720.9,3.0,16.2,16.0,9.05,120900.0
Apartment,1750.3,2.0,8.3,1.36,8.79,198300.0
Townhouse,1221.3,3.0,25.9,5.04,4.95,112200.0
Apartment,1732.8,5.0,34.8,3.17,4.43,231300.0
Apartment,1604.2,2.0,,3.45,9.4,140700.0
Villa,1284.5,3.0,34.8,,,252400.0
Townhouse,1096.6,3.0,21.5,16.39,9.35,71400.0
Apartment,714.9,3.0,30.1,0.5,8.17,93700.0
Bungalow,1639.9,2.0,5.6,3.75,,196500.0
Bungalow,874.1,4.0,13.9,1.92,,184000.0
Apartment,1538.1,3.0,15.6,8.89,3.62,211800.0
Bungalow,,,20.5,2.93,9.72,153100.0
Apartment,1771.7,2.0,37.2,3.0,3.87,195400.0
Bungalow,1379.2,2.0,35.0,6.7,1.84,225500.0
Bungalow,1368.2,1.0,5.4,10.58,7.37,136600.0
Villa,1792.7,4.0,6.9,1.29,,318600.0
Apartment,1634.0,2.0,14.3,1.93,3.57,204600.0
Bungalow,1626.5,3.0,,,3.68,232000.0
Apartment,1687.7,3.0,24.6,36.4,5.22,61000.0
Apartment,885.8,3.0,36.1,5.06,1.2,125900.0
Apartment,1802.7,3.0,38.5,9.14,8.1,132200.0
Villa,1745.0,,26.1,2.76,3.85,289300.0
Bungalow,1093.3,2.0,33.5,6.74,8.68,133700.0
Apartment,1402.4,2.0,21.0,0.77,8.22,135500.0
Villa,1484.3,3.0,8.3,0.5,6.95,255800.0
Apartment,1446.2,3.0,21.0,6.32,3.92,181000.0
Bungalow,1633.5,2.0,22.2,5.09,5.65,180000.0
Apartment,2072.5,3.0,29.7,1.47,5.0,220000.0
Bungalow,1932.7,2.0,8.8,11.63,4.05,231900.0
Apartment,975.1,2.0,14.7,49.48,8.63,50000.0
Townhouse,1748.8,1.0,14.6,5.04,5.35,156200.0
Apartment,2031.6,4.0,38.4,9.8,8.49,224000.0
Apartment,1654.7,2.0,17.8,32.96,1.95,112300.0
Apartment,1936.4,2.0,30.2,17.81,2.27,167600.0
Townhouse,2304.9,2.0,,6.23,9.8,227900.0
Townhouse,,2.0,10.6,13.37,6.29,198000.0
Apartment,1599.7,3.0,22.9,1.37,5.59,212900.0
Bungalow,1918.0,1.0,35.8,7.18,5.71,197200.0
Bungalow,1558.0,2.0,19.0,3.27,,219000.0
Villa,1509.6,3.0,37.8,1.76,7.47,263400.0
Villa,1359.4,2.0,8.6,5.56,1.76,262700.0
Apartment,2125.4,4.0,3.0,1.4,6.16,275500.0
Apartment,1172.6,3.0,35.7,12.01,6.14,79000.0
Townhouse,2112.9,2.0,33.9,6.09,9.23,202200.0
Townhouse,1699.9,3.0,39.7,7.57,5.74,190300.0
Bungalow,940.3,2.0,27.2,1.58,2.23,171900.0
Apartment,1647.1,3.0,37.5,1.51,6.15,175100.0
Apartment,660.0,3.0,33.1,8.76,1.82,80200.0
Bungalow,1750.2,2.0,33.8,42.0,2.83,99200.0
Townhouse,1854.1,3.0,22.8,1.01,1.28,250200.0
Townhouse,1263.1,4.0,15.3,3.36,5.62,201700.0
Bungalow,1549.4,,37.4,20.36,1.76,209400.0
Bungalow,2281.7,3.0,17.3,0.75,5.22,282200.0
Apartment,1297.7,3.0,21.6,20.87,9.4,68300.0
Apartment,1076.4,2.0,17.8,7.43,7.48,113200.0
Townhouse,2092.7,2.0,22.6,5.25,1.7,250100.0
Bungalow,2285.0,3.0,,3.71,3.02,283600.0
Apartment,1501.5,3.0,1.9,3.53,7.06,159000.0
Apartment,1904.6,5.0,35.3,3.65,9.05,242800.0
Bungalow,,3.0,17.8,21.61,1.3,250400.0
Apartment,1203.0,,23.6,12.87,8.31,96100.0
Apartment,1305.9,3.0,5.6,11.08,,180900.0
Villa,1992.3,4.0,0.1,16.03,5.91,323800.0
Bungalow,2174.0,3.0,9.8,2.97,9.62,268700.0
Bungalow,1725.2,3.0,28.2,9.62,7.73,181800.0
Apartment,1148.1,2.0,4.0,6.16,8.65,83200.0
Bungalow,2294.8,4.0,36.4,15.25,4.19,281400.0
Apartment,1287.6,,,3.7,5.99,110400.0
Apartment,1365.9,4.0,8.2,10.31,,186200.0
Bungalow,1636.9,3.0,,21.39,3.89,207400.0
Bungalow,2121.7,3.0,0.6,5.14,6.13,292000.0
Bungalow,1841.6,3.0,30.9,0.69,3.13,232400.0
Bungalow,1665.9,3.0,35.0,,2.29,203000.0
Villa,,1.0,24.6,4.25,4.37,279800.0
Apartment,1517.4,4.0,7.5,11.15,7.65,153000.0
Apartment,1723.3,3.0,11.4,30.17,9.25,131000.0
Apartment,,2.0,19.0,6.65,5.12,50000.0
Apartment,1381.4,2.0,38.2,6.28,6.79,121700.0
Townhouse,1596.5,,9.9,,1.93,178000.0
Apartment,1039.6,3.0,29.3,1.09,9.14,103400.0
Townhouse,,3.0,17.6,2.92,6.12,205300.0
Bungalow,1418.2,3.0,11.9,25.13,8.02,142400.0
Bungalow,2202.2,3.0,18.2,11.08,8.15,236600.0
Villa,2129.2,5.0,2.8,0.5,3.31,389100.0
Villa,1313.7,3.0,31.9,2.29,,237700.0
Villa,1439.7,4.0,9.7,11.48,9.64,248200.0
Apartment,,,29.0,14.46,1.81,113200.0
Bungalow,1319.3,3.0,2.7,18.32,,112100.0
Apartment,1578.0,2.0,38.2,3.46,9.66,154700.0
Apartment,1196.7,3.0,,26.74,3.71,50000.0
Bungalow,1047.8,4.0,35.3,8.05,8.75,154600.0
Apartment,1749.1,1.0,32.4,11.93,9.4,122200.0
Townhouse,1751.8,1.0,38.7,9.08,7.72,116800.0
Townhouse,1178.3,4.0,19.1,1.31,3.08,166000.0
Townhouse,1858.1,2.0,29.1,33.0,,131000.0
Apartment,1247.4,3.0,14.8,1.31,1.32,157400.0
Apartment,1601.3,3.0,7.4,2.94,8.48,181100.0
Townhouse,1828.1,4.0,17.7,16.8,8.65,200300.0
Villa,1486.6,2.0,6.6,9.64,6.69,225400.0
Townhouse,1681.9,2.0,39.3,18.21,4.17,122100.0
Townhouse,1293.4,3.0,3.8,7.25,1.69,163800.0
Townhouse,1421.4,5.0,23.6,4.73,7.78,216800.0
Apartment,1417.7,3.0,25.1,25.49,7.54,119600.0
Apartment,,2.0,21.5,0.5,9.21,74700.0
Townhouse,1429.3,3.0,26.5,19.39,7.57,136600.0
Apartment,880.6,5.0,4.6,2.62,,131700.0
Apartment,1303.5,4.0,22.2,18.89,7.71,126300.0
Villa,1386.0,5.0,,1.5,6.68,273300.0
Townhouse,1397.5,,37.6,8.68,4.84,83100.0
Bungalow,1403.4,2.0,30.5,21.9,9.12,112700.0
Villa,1475.3,3.0,38.9,6.42,6.86,217100.0
Apartment,1691.8,4.0,1.5,13.73,4.59,165000.0
Bungalow,1849.8,2.0,11.4,16.33,1.75,183900.0
Townhouse,1240.1,2.0,,13.34,3.62,132400.0
Apartment,1018.7,4.0,0.4,25.95,5.89,73400.0
Villa,1083.2,1.0,9.7,5.92,3.48,204100.0
Townhouse,1305.1,3.0,27.2,1.9,2.99,183700.0
Bungalow,1359.2,3.0,9.2,0.5,5.75,190600.0
Bungalow,1192.0,3.0,20.4,,2.53,177800.0
Bungalow,981.6,4.0,35.5,1.55,8.2,132400.0
Apartment,1317.6,3.0,27.8,8.16,5.36,129100.0
Apartment,1572.6,3.0,15.8,2.05,6.16,165700.0
Bungalow,1738.0,3.0,14.9,0.5,2.33,263100.0
Bungalow,1277.0,3.0,18.2,0.5,3.92,213500.0
Townhouse,1334.8,3.0,7.1,17.81,4.69,113100.0
Townhouse,1129.3,,25.4,8.95,8.27,118500.0
Villa,1487.4,1.0,14.6,4.43,7.93,223400.0
Villa,1160.6,2.0,34.1,22.46,3.01,157600.0
Bungalow,1729.3,2.0,30.3,0.73,6.55,180000.0
Bungalow,785.7,3.0,24.4,39.28,3.19,50000.0
Bungalow,1356.1,4.0,14.6,9.58,9.89,170000.0
Bungalow,1620.4,4.0,8.4,2.03,9.57,241700.0
Townhouse,1573.5,4.0,31.0,11.37,6.07,161500.0
Apartment,2577.2,3.0,19.5,14.41,7.29,295500.0
Apartment,1639.9,3.0,9.0,5.61,8.21,192300.0
Apartment,1098.4,,7.8,19.78,7.49,55400.0
Villa,1461.8,2.0,6.6,1.63,7.3,248600.0
Apartment,789.5,1.0,31.1,3.27,9.63,85400.0
Villa,1467.8,3.0,9.2,,6.37,243300.0
Villa,1166.8,5.0,21.1,2.37,6.73,261000.0
Apartment,1866.2,2.0,18.1,2.73,8.64,185700.0
Villa,1280.2,1.0,23.2,24.97,7.03,148100.0
Apartment,1453.3,4.0,35.1,0.81,7.6,199400.0
Apartment,1245.8,,34.7,5.58,3.11,115200.0
Bungalow,2195.5,4.0,18.0,,4.34,316700.0
Apartment,1371.5,4.0,0.6,22.9,2.33,180700.0
Apartment,,5.0,17.1,50.0,5.55,153500.0
Villa,1825.7,3.0,24.2,14.0,5.1,285300.0
Bungalow,1692.8,3.0,22.3,35.33,9.97,99300.0
Apartment,,3.0,26.1,15.47,6.5,147600.0
Bungalow,1657.5,3.0,6.2,33.02,8.08,125900.0
Apartment,728.9,3.0,25.9,12.29,4.01,72500.0
Apartment,1388.4,2.0,7.3,0.83,8.48,170600.0
Villa,1838.1,3.0,30.0,,6.54,286800.0
Villa,1480.4,,13.6,10.4,7.27,266200.0
Bungalow,937.9,4.0,28.4,4.32,3.65,181400.0
Bungalow,1479.0,4.0,1.9,3.19,5.94,240100.0
Townhouse,2181.6,3.0,,8.61,6.71,235700.0
Villa,1998.8,2.0,28.2,27.11,6.3,217000.0
Apartment,1475.2,4.0,,0.5,9.24,167800.0
Bungalow,1880.6,3.0,31.8,14.66,,213500.0
Apartment,1353.4,,25.2,12.83,9.74,98100.0
Villa,818.5,,23.5,33.23,7.01,127300.0
Apartment,,1.0,14.1,26.69,9.75,50000.0
Apartment,2125.2,4.0,19.3,14.36,8.49,234800.0
Townhouse,1390.4,1.0,23.9,7.35,3.44,134400.0
Bungalow,,3.0,18.9,2.28,4.85,224300.0
Bungalow,1380.1,3.0,27.9,7.88,3.15,203300.0
Villa,2261.7,2.0,,14.5,1.04,353800.0
Apartment,2150.4,4.0,,22.6,2.69,254700.0
Apartment,2387.5,1.0,,15.59,1.04,239100.0
Apartment,1436.4,2.0,0.2,2.17,7.48,132700.0
Villa,1618.2,3.0,12.0,9.16,4.83,245300.0
Bungalow,893.3,,30.0,,3.81,103100.0
Bungalow,2090.8,5.0,31.8,0.5,,275400.0
Apartment,1032.9,4.0,8.1,2.23,8.49,130600.0
Townhouse,1586.7,3.0,38.4,1.2,9.78,162300.0
Bungalow,1061.1,3.0,20.1,18.5,6.78,96100.0
Villa,1264.5,1.0,36.7,2.99,5.15,208700.0
Bungalow,1165.1,2.0,28.3,3.35,3.75,144500.0
Villa,1256.8,3.0,28.9,32.17,3.0,130400.0
Apartment,1284.4,3.0,3.4,4.77,,160400.0
Apartment,1280.7,,8.8,0.5,4.68,146100.0
Bungalow,1833.3,4.0,0.4,3.34,9.93,244600.0
Apartment,1058.1,3.0,28.6,1.27,1.01,166700.0
Apartment,1588.2,1.0,13.8,1.08,2.77,169000.0
Apartment,1987.2,2.0,31.5,0.81,2.7,264900.0
Apartment,1294.7,4.0,13.6,9.0,7.45,170400.0
Townhouse,1212.8,4.0,32.8,2.1,4.17,154600.0
Bungalow,1407.8,4.0,5.2,4.48,5.12,190200.0
Villa,1971.9,2.0,6.9,19.81,2.34,273300.0
Apartment,1577.6,5.0,13.6,5.52,4.64,235500.0
Villa,1287.5,,16.3,24.73,1.93,164600.0
Villa,1693.6,1.0,13.9,6.89,5.8,265600.0
Apartment,1059.1,5.0,30.5,5.09,1.88,178200.0
Villa,1772.5,2.0,3.9,13.88,,231200.0
Apartment,1663.4,3.0,14.0,0.76,6.1,187400.0
Bungalow,1376.9,2.0,33.5,0.94,7.52,179800.0
Bungalow,1164.6,3.0,2.7,10.55,4.77,155700.0
Apartment,,5.0,37.7,6.67,4.43,132100.0
Apartment,,2.0,39.5,15.63,1.88,144500.0
Bungalow,1991.6,3.0,3.5,24.8,5.71,203600.0
Villa,1245.1,2.0,11.7,4.92,5.63,185000.0
Townhouse,1683.4,3.0,,9.07,5.21,206800.0
Bungalow,665.2,2.0,31.1,6.95,7.66,53200.0
Apartment,1266.2,,23.8,39.96,8.49,50000.0
Apartment,1487.6,2.0,25.8,17.78,7.76,100800.0
Bungalow,1136.1,2.0,30.3,24.27,2.29,74400.0
Apartment,1125.4,5.0,4.7,2.93,6.6,196300.0
Villa,1232.9,3.0,33.3,14.81,1.72,193300.0
Townhouse,1616.9,2.0,28.2,3.09,7.25,149700.0
Villa,1425.1,3.0,23.1,2.34,4.44,269800.0
Apartment,604.7,2.0,35.6,28.87,2.19,50000.0
Bungalow,651.7,4.0,28.0,0.5,8.76,92100.0
Villa,1257.3,5.0,8.1,33.64,6.53,185000.0
Villa,1683.1,3.0,17.2,1.62,4.19,275900.0
Townhouse,401.0,,19.8,17.12,1.28,50000.0
Apartment,1300.1,3.0,2.2,3.23,5.84,191400.0
Townhouse,1289.5,2.0,38.2,4.32,9.31,127000.0
Townhouse,2055.3,3.0,5.1,2.44,6.37,251000.0
Apartment,1346.0,3.0,27.9,8.81,9.74,117100.0
Apartment,1653.2,3.0,,4.28,2.23,211600.0
Apartment,1556.5,4.0,1.0,10.71,6.11,199200.0
Apartment,647.8,3.0,37.0,0.5,8.18,50000.0
Apartment,1807.3,,34.1,0.67,5.73,247200.0
Bungalow,1586.2,4.0,21.0,1.05,1.82,239300.0
Apartment,1703.3,3.0,9.2,5.43,6.25,189700.0
Apartment,3070.5,3.0,4.9,16.86,6.51,327600.0
Bungalow,666.4,2.0,14.5,21.91,7.56,50000.0
Apartment,2189.9,5.0,10.2,2.81,7.85,297600.0
Bungalow,1385.0,3.0,20.3,8.54,7.94,173400.0
Apartment,1614.9,1.0,38.7,14.63,6.97,77500.0
Apartment,1481.8,2.0,23.0,3.41,2.94,137200.0
Bungalow,1330.3,3.0,35.6,5.26,4.64,165100.0
Bungalow,1272.1,,26.0,7.42,7.99,157000.0
Townhouse,,,19.0,1.45,9.58,141600.0
Bungalow,893.1,3.0,34.2,0.5,1.71,142600.0
Bungalow,1800.2,2.0,18.9,1.66,5.82,217600.0
Apartment,1333.5,3.0,34.7,9.86,3.81,121800.0
Apartment,1048.0,2.0,,0.76,3.03,129100.0
Bungalow,1320.0,2.0,5.2,2.1,5.55,205300.0
Bungalow,2002.9,3.0,34.2,4.12,6.45,259200.0
Townhouse,,3.0,,0.81,1.09,164700.0
Villa,1643.4,2.0,35.6,2.13,8.02,306000.0
Apartment,1207.6,2.0,37.5,24.22,,50000.0
Bungalow,1803.2,3.0,2.1,0.5,9.69,228500.0
Apartment,1774.2,1.0,20.0,10.6,2.63,193800.0
Townhouse,2239.4,2.0,15.0,4.85,6.35,241900.0
Townhouse,1429.8,1.0,25.0,11.17,4.84,154500.0
Villa,1767.5,4.0,31.7,8.88,4.01,276200.0
Bungalow,1539.2,4.0,11.2,,6.09,255800.0
Bungalow,2018.3,4.0,22.3,18.79,8.04,226500.0
Apartment,1212.5,4.0,28.3,6.77,1.21,182000.0
Townhouse,1798.0,3.0,5.4,17.29,9.72,205300.0
Villa,1422.1,3.0,32.6,5.21,8.29,207900.0
Bungalow,1474.3,3.0,,41.79,7.76,98900.0
Apartment,1536.7,1.0,38.0,14.72,7.84,66700.0
Townhouse,,3.0,13.6,33.8,4.5,90000.0
Apartment,,4.0,4.3,7.22,7.76,153500.0
Apartment,1585.9,3.0,20.3,6.42,4.48,188100.0
Townhouse,2131.2,3.0,3.4,14.08,9.09,221100.0
Apartment,1894.2,2.0,38.8,21.23,2.6,150500.0
Apartment,1847.7,,1.5,33.28,,144500.0
Townhouse,,3.0,30.1,3.92,5.96,164300.0
Townhouse,1144.3,,21.0,16.03,3.87,136600.0
Villa,1882.1,2.0,14.7,2.37,4.82,324000.0
Bungalow,1850.4,4.0,2.6,7.89,5.43,291800.0
Villa,2089.1,3.0,24.9,1.98,,322000.0
Apartment,1258.4,4.0,23.4,4.27,5.71,143200.0
Apartment,1408.2,3.0,,26.79,,113200.0
Bungalow,844.2,3.0,36.4,1.58,3.23,107600.0
Bungalow,1343.0,3.0,12.2,10.01,4.68,157700.0
Bungalow,1898.6,4.0,18.0,8.99,5.64,269300.0
Bungalow,1313.4,5.0,21.8,1.29,7.72,204500.0
Apartment,1756.2,1.0,4.0,3.94,2.09,169400.0
Villa,1423.8,,37.3,8.28,2.99,180600.0
Apartment,1629.6,5.0,15.0,2.07,4.42,230100.0
Villa,1040.9,3.0,3.2,16.13,4.24,205800.0
Villa,,3.0,15.5,35.81,4.53,198400.0
Townhouse,400.0,3.0,24.0,2.42,8.14,50000.0
Apartment,1425.2,1.0,20.5,2.07,3.92,184100.0
Apartment,847.8,4.0,27.8,6.07,5.52,95400.0
Apartment,1982.4,4.0,2.2,13.77,6.62,216200.0
Bungalow,1811.0,2.0,11.4,3.31,3.09,188000.0
Bungalow,1686.7,2.0,32.8,0.5,,195700.0
Apartment,2108.4,4.0,3.2,7.79,5.92,271400.0
Apartment,1120.4,1.0,34.2,31.37,5.02,50000.0
Bungalow,,4.0,3.7,4.96,8.29,277400.0
Apartment,1872.9,2.0,33.4,5.45,3.19,208200.0
Bungalow,,3.0,14.4,34.71,8.95,107500.0
Bungalow,1954.2,5.0,24.5,11.86,6.05,257700.0
Apartment,1057.5,3.0,6.1,12.7,6.48,50000.0
Apartment,1170.2,3.0,2.6,8.27,8.88,118700.0
Townhouse,1256.6,,8.6,36.73,8.36,63100.0
Apartment,1288.4,2.0,5.1,11.68,6.41,92400.0
Apartment,,2.0,12.5,22.54,7.78,50000.0
Bungalow,1989.2,5.0,20.6,12.02,,244600.0
Townhouse,1396.5,4.0,23.6,13.28,5.93,100800.0
Townhouse,1641.0,3.0,31.6,3.43,1.56,230100.0
Bungalow,1271.9,3.0,26.2,3.62,1.81,186400.0
Apartment,771.8,1.0,24.4,15.28,8.46,50000.0
Apartment,1608.0,1.0,16.5,3.52,1.54,190100.0
Bungalow,735.1,3.0,19.0,8.27,2.52,101700.0
Villa,1472.5,4.0,16.6,2.87,8.16,265500.0
Villa,952.7,3.0,33.7,16.98,1.01,178800.0
Townhouse,2294.9,4.0,9.2,1.17,,332500.0
Apartment,1864.5,1.0,0.2,17.69,6.26,157000.0
Villa,1542.3,3.0,,9.23,6.36,266000.0
Apartment,2005.5,2.0,8.1,2.07,,212500.0
Villa,1161.5,3.0,35.6,7.81,5.55,181000.0
Apartment,1717.4,1.0,34.4,3.32,5.58,160300.0
Apartment,1579.9,5.0,3.1,3.91,7.53,215300.0
Apartment,1605.6,2.0,4.3,4.33,5.49,151500.0
